subjects,roi,condition,trial,TR3,TR4,TR5,TR6
cg160715,nacc,food,trial15,0.17737,0.10707,-0.097988,-0.31074
cg160715,nacc,food,trial16,0.36628,0.38749,0.12528,-0.1239
cg160715,nacc,food,trial17,0.087903,-0.21204,0.1025,0.40971
cg160715,nacc,food,trial18,0.138,-0.13796,0.066932,0.20029
cg160715,nacc,food,trial2,-0.22907,-0.36591,-0.081231,0.084805
cg160715,nacc,food,trial3,-0.0092431,0.030262,0.26958,0.33826
cg160715,nacc,food,trial4,0.73993,-0.20886,-0.72124,-0.85496
cg160715,nacc,food,trial5,-0.086618,-0.21414,0.039259,-0.17559
cg160715,nacc,food,trial6,0.38676,-0.23002,-0.28019,-0.21306
cg160715,nacc,food,trial7,-0.30934,-0.15635,0.18594,-0.1434
cg160715,nacc,food,trial8,0.2288,0.20366,0.21348,-0.16555
cg160715,nacc,food,trial9,0.040876,-0.20335,0.014097,0.077618
cg160715,nacc,neutral,trial1,-0.31912,-0.32115,-0.43657,0.04914
cg160715,nacc,neutral,trial10,-0.23116,0.054845,0.050553,-0.39122
cg160715,nacc,neutral,trial11,0.25753,-0.3282,-0.67193,-1.0106
cg160715,nacc,neutral,trial12,0.5515,0.64822,-0.15134,-0.26397
cg160715,nacc,neutral,trial13,-0.1215,-0.4115,-0.70886,-0.38997
cg160715,nacc,neutral,trial14,-0.7149,-0.39634,0.44894,0.39331
cg160715,nacc,neutral,trial15,-0.46388,0.59573,0.42757,-0.33703
cg160715,nacc,neutral,trial16,-0.50971,-0.63503,-0.22681,-0.028079
cg160715,nacc,neutral,trial17,-0.15855,-0.077463,-0.41675,-0.5393
cg160715,nacc,neutral,trial18,-0.39502,-0.14301,-0.26857,-0.20715
cg160715,nacc,neutral,trial2,0.095224,-0.29515,-0.25404,0.30813
cg160715,nacc,neutral,trial3,0.24209,0.062843,-0.26694,-0.027015
cg160715,nacc,neutral,trial4,-0.35164,0.074531,0.37227,0.29384
cg160715,nacc,neutral,trial5,-0.28336,0.4774,-0.44997,0.028546
cg160715,nacc,neutral,trial6,0.086269,0.26413,0.29618,-0.14635
cg160715,nacc,neutral,trial7,-0.10757,-0.36467,0.036043,-0.10541
cg160715,nacc,neutral,trial8,0.0078067,0.10105,0.32016,0.66106
cg160715,nacc,neutral,trial9,0.16017,0.062351,-0.25522,-0.53974
cm160510,nacc,drugs,trial1,0.15127,-0.11524,0.21402,0.40234
cm160510,nacc,drugs,trial10,-0.57563,0.022186,0.43147,0.76424
cm160510,nacc,drugs,trial11,0.36612,0.11088,0.54,-0.038448
cm160510,nacc,drugs,trial12,-0.2734,-0.24344,0.049101,-1.1304
cm160510,nacc,drugs,trial13,0.24437,0.012568,0.068475,-0.16565
cm160510,nacc,drugs,trial14,0.15769,0.22509,0.38303,-0.32279
cm160510,nacc,drugs,trial15,0.34787,0.019723,0.28243,-0.51327
cm160510,nacc,drugs,trial16,-0.1578,0.26368,0.14846,0.02251
cm160510,nacc,drugs,trial17,-0.082791,-0.2601,0.022777,-0.07949
cm160510,nacc,drugs,trial18,-0.28984,-0.31727,0.35019,0.47635
cm160510,nacc,drugs,trial2,-0.42069,-0.17106,0.025737,0.31526
cm160510,nacc,drugs,trial3,0.12875,-0.058198,0.14343,0.77292
cm160510,nacc,drugs,trial4,-0.18854,0.041022,0.14041,-0.094385
cm160510,nacc,drugs,trial5,0.080472,-0.13695,0.19785,-0.35468
cm160510,nacc,drugs,trial6,-0.036963,-0.18693,0.33415,0.19314
cm160510,nacc,drugs,trial7,0.10331,0.51226,-0.79238,0.54182
cm160510,nacc,drugs,trial8,-0.051036,-0.23289,0.26448,0.071094
cm160510,nacc,drugs,trial9,0.64529,-0.19564,-0.072754,-0.61829
cm160510,nacc,food,trial1,-0.17731,0.25757,-0.3493,-0.3506
cm160510,nacc,food,trial10,-0.25769,0.071671,0.089984,-0.31861
cm160510,nacc,food,trial11,-0.4193,-0.25017,-0.49689,-0.018316
cm160510,nacc,food,trial12,-0.60784,-0.12073,0.37058,0.049831
cm160510,nacc,food,trial13,0.58894,-0.42191,0.26019,-0.062758
cm160510,nacc,food,trial14,0.074334,0.45984,-0.16419,-0.55583
cm160510,nacc,food,trial15,0.0081649,-0.13821,-0.2577,0.23243
cm160510,nacc,food,trial16,0.23508,0.065154,0.16132,0.030927
cm160510,nacc,food,trial17,-0.13269,-0.084906,0.057282,-0.12749
cm160510,nacc,food,trial18,-0.24546,-0.48837,-0.17112,0.35481
cm160510,nacc,food,trial2,-0.48556,-0.086715,0.33029,0.30607
cm160510,nacc,food,trial3,0.2589,0.31372,-0.26995,0.059421
cm160510,nacc,food,trial4,-0.12815,0.12239,0.32303,-0.77828
cm160510,nacc,food,trial5,0.055105,-0.21192,-0.21588,-0.1085
cm160510,nacc,food,trial6,-0.1212,0.32195,0.070935,-0.055337
cm160510,nacc,food,trial7,0.21369,-0.036447,-0.10658,0.13718
cm160510,nacc,food,trial8,-0.018903,-0.55586,-0.17461,-0.074605
cm160510,nacc,food,trial9,-0.11529,-0.099148,0.010609,0.029672
cm160510,nacc,neutral,trial1,0.19577,0.15638,-0.59225,-0.20011
cm160510,nacc,neutral,trial10,0.59204,-0.021117,0.28883,0.20187
cm160510,nacc,neutral,trial11,0.047055,0.60787,0.18076,0.18172
cm160510,nacc,neutral,trial12,0.19852,-0.9392,0.10734,0.53458
cm160510,nacc,neutral,trial13,-0.16462,-0.22145,0.099993,0.30391
cm160510,nacc,neutral,trial14,0.040004,0.49556,-0.4192,-0.46373
cm160510,nacc,neutral,trial15,0.1989,-0.17961,-0.18563,0.1811
cm160510,nacc,neutral,trial16,-0.12893,-0.099744,-0.42555,-0.026986
cm160510,nacc,neutral,trial17,0.52926,-0.1463,-0.13802,-0.51271
cm160510,nacc,neutral,trial18,-0.17516,0.06021,-0.11803,0.034205
cm160510,nacc,neutral,trial2,-0.0532,0.37933,0.34739,0.010383999999999999
cm160510,nacc,neutral,trial3,0.10981,0.12414,0.11121,0.17418
cm160510,nacc,neutral,trial4,0.00271,-0.19342,0.14461,0.3669
cm160510,nacc,neutral,trial5,0.33118,-0.38123,0.10538,-0.45584
cm160510,nacc,neutral,trial6,0.38966,-0.22313,-0.57982,0.34335
cm160510,nacc,neutral,trial7,0.28459,0.30308,-0.10119,0.13094
cm160510,nacc,neutral,trial8,-0.020385,-0.37992,-0.014137,0.077884
cm160510,nacc,neutral,trial9,-0.14404,0.5969,-0.40458,-0.2315
ds170728,nacc,drugs,trial1,0.17829,-0.21769,-0.24756,-0.57709
ds170728,nacc,drugs,trial10,-1.0681,0.058571,-0.18671,0.54159
ds170728,nacc,drugs,trial11,0.057347,0.33851,0.26518,0.24485
ds170728,nacc,drugs,trial12,1.1193,0.15467,-0.40497,0.026631
ds170728,nacc,drugs,trial13,0.083668,-0.50203,-0.26491,0.48094
ds170728,nacc,drugs,trial14,-0.081341,0.23877,-0.48937,0.22318
ds170728,nacc,drugs,trial15,0.10433,0.58775,0.13207,0.33766
ds170728,nacc,drugs,trial16,-0.054685,-0.46775,-0.30109,0.27479
ds170728,nacc,drugs,trial17,-0.17786,0.10533,-0.25548,-0.13445
ds170728,nacc,drugs,trial18,-0.14415,0.28218,-0.16353,-0.39183
ds170728,nacc,drugs,trial2,-0.054778,-0.18306,0.20308,-0.26972
ds170728,nacc,drugs,trial3,0.55004,0.0011758,-0.31749,0.18328
ds170728,nacc,drugs,trial4,0.01999,0.22261,0.48559,0.078005
ds170728,nacc,drugs,trial5,-0.0074104,0.11412,0.23217,0.50353
ds170728,nacc,drugs,trial6,-0.15706,-0.25826,-0.1132,0.12141
ds170728,nacc,drugs,trial7,0.23931,-0.30647,-0.35714,-0.35775
ds170728,nacc,drugs,trial8,0.34403,0.29301,-0.18054,0.41041
ds170728,nacc,drugs,trial9,-0.23602,0.18866,0.16006,-0.33498
ds170728,nacc,food,trial1,-0.31047,0.77485,0.027398,0.12276
ds170728,nacc,food,trial10,0.20177,0.27427,0.075025,0.43367
ds170728,nacc,food,trial11,-0.045359,0.26188,0.48189,-0.0047817
ds170728,nacc,food,trial12,-0.11935,-0.53777,-0.52279,-0.30156
ds170728,nacc,food,trial13,0.077366,-0.077916,0.15307,0.19612
ds170728,nacc,food,trial14,0.011122,0.92279,0.34443,0.47827
ds170728,nacc,food,trial15,-0.65873,-0.055224,-0.45762,-0.24707
ds170728,nacc,food,trial16,0.0094947,-0.16919,-0.17297,0.77914
ds170728,nacc,food,trial17,0.84336,0.2494,0.16601,0.27646
ds170728,nacc,food,trial18,-0.31633,-0.50989,-0.042479,0.4401
ds170728,nacc,food,trial2,-0.26166,-0.12223,0.00162,0.42462
ds170728,nacc,food,trial3,-0.17983,-0.12947,0.055475,0.031639
ds170728,nacc,food,trial4,0.82095,0.69165,-1.3797,-0.26288
ds170728,nacc,food,trial5,0.39579,0.26587,0.25498,0.043991
ds170728,nacc,food,trial6,0.54875,0.10952,-0.084055,-0.8417
ds170728,nacc,food,trial7,-0.67101,-0.63069,0.45985,-0.046722
ds170728,nacc,food,trial8,-0.023248,0.58184,-0.09993,-0.5132
ds170728,nacc,food,trial9,0.57975,0.12896,-0.51717,-0.23483
ds170728,nacc,neutral,trial1,0.51533,0.018138,0.097956,-0.012381
ds170728,nacc,neutral,trial10,0.13074,-0.11019,-0.33419,0.36352
ds170728,nacc,neutral,trial11,0.21148,-0.58522,0.1608,0.084898
ds170728,nacc,neutral,trial12,-0.85217,-0.086191,-0.048562,-0.1359
ds170728,nacc,neutral,trial13,0.087193,0.85578,0.66345,0.082918
